base_unit_cost,competitor_price_ratio,historical_demand_index,promotional_lift_pct,inventory_coverage_days,macro_seasonality_factor,will_convert_purchase
73.452,1.077,470.986,0.125,55,0.777,1
41.319,1.11,532.758,0.176,58,1.052,1
33.694,1.07,693.33,0.0,58,1.049,1
31.657,1.038,480.05,0.0,24,0.989,1
32.763,0.871,301.866,0.143,45,0.741,1
43.843,1.268,821.451,0.006,3,1.174,0
50.117,1.321,429.535,0.103,17,1.149,0
49.15,0.798,523.813,0.096,26,0.865,1
57.408,0.896,673.401,0.247,6,1.141,0
45.195,1.008,408.726,0.152,20,1.075,1
66.803,0.905,348.82,0.133,19,0.744,0
41.03,1.126,538.061,0.187,9,0.829,0
85.803,0.941,231.039,0.149,52,1.228,1
54.385,1.375,456.814,0.083,47,1.062,1
32.143,1.229,536.756,0.206,54,0.887,1
28.937,1.082,459.507,0.031,54,0.828,1
52.237,1.204,268.482,0.146,12,0.897,0
41.648,1.216,739.127,0.0,3,0.911,0
55.71,0.965,515.531,0.136,4,0.831,1
52.099,0.928,714.673,0.135,51,0.652,1
43.908,1.062,460.995,0.254,24,1.228,0
32.298,1.179,367.998,0.0,34,1.194,0
22.277,1.071,540.377,0.072,31,0.745,1
38.302,0.813,467.632,0.186,37,1.027,0
57.846,0.93,323.336,0.147,19,0.82,0
48.211,1.039,720.468,0.134,14,0.948,1
26.314,1.039,406.659,0.044,26,0.931,1
47.598,1.346,223.96,0.073,32,0.914,0
50.78,0.842,699.225,0.22,46,1.401,0
31.742,1.126,424.355,0.116,32,0.912,1
47.306,1.273,408.826,0.15,22,0.838,0
45.873,1.391,235.192,0.111,44,0.847,1
27.855,0.989,761.141,0.025,9,1.209,0
50.367,1.124,306.578,0.195,44,0.67,0
53.412,1.135,508.767,0.16,52,0.847,1
61.246,1.079,636.893,0.304,56,1.289,0
60.807,1.035,563.258,0.039,40,1.049,1
24.335,1.115,491.052,0.186,9,1.038,0
30.933,0.67,244.75,0.015,51,1.426,1
52.726,1.152,378.541,0.133,32,1.049,0
52.707,1.069,528.17,0.198,14,0.858,0
52.726,1.017,381.924,0.0,51,0.944,1
102.791,1.357,530.504,0.104,33,0.773,1
53.563,0.949,602.262,0.075,20,1.251,0
62.033,0.99,644.375,0.064,48,1.115,1
59.31,1.349,316.073,0.151,45,1.225,0
54.771,0.925,829.497,0.21,4,1.243,0
40.271,0.967,615.122,0.109,55,0.917,1
56.385,1.028,499.743,0.136,35,0.811,1
33.408,1.176,663.43,0.129,13,0.99,0
41.448,1.081,854.811,0.12,36,0.825,1
37.72,0.856,284.192,0.033,18,1.033,1
46.228,0.97,466.211,0.209,56,1.226,0
79.72,0.959,143.235,0.144,37,0.966,0
16.991,1.038,528.898,0.152,54,1.03,0
55.294,1.114,554.809,0.055,35,0.981,1
20.809,1.113,494.126,0.083,23,1.161,0
37.921,0.784,401.82,0.106,22,0.866,1
61.334,1.21,192.573,0.0,10,0.561,1
45.964,1.088,556.03,0.0,53,1.094,1
28.834,1.258,718.315,0.072,28,1.198,0
34.27,1.117,411.347,0.162,35,1.089,0
55.194,1.215,566.009,0.068,28,0.872,1
34.045,1.12,264.778,0.038,39,0.773,1
48.247,1.252,568.582,0.055,32,1.099,0
45.684,1.128,440.993,0.084,33,1.028,1
35.226,1.035,385.637,0.092,35,0.975,1
77.159,1.391,385.945,0.293,13,1.364,0
54.509,1.183,440.958,0.204,55,0.811,1
14.623,1.136,557.365,0.202,43,1.355,0
47.797,0.859,303.176,0.213,7,1.006,0
35.073,0.857,440.433,0.04,4,0.633,1
57.787,1.094,493.779,0.022,15,0.964,1
33.112,1.072,335.144,0.031,20,1.192,0
43.279,0.958,769.5,0.227,28,0.927,1
52.575,1.071,371.976,0.076,27,0.705,1
57.986,1.288,399.584,0.02,46,0.967,1
26.996,1.154,353.254,0.086,16,0.829,0
39.982,0.879,769.772,0.101,7,1.098,1
37.876,1.033,582.936,0.141,58,1.155,0
35.2,0.929,359.511,0.14,44,0.789,1
71.482,0.992,665.935,0.054,54,0.859,1
51.075,0.988,530.105,0.175,4,1.151,0
26.087,0.978,538.588,0.069,6,0.828,0
58.768,0.862,448.328,0.107,14,0.784,1
76.832,1.031,387.588,0.175,13,0.764,0
60.487,0.966,550.665,0.069,6,1.07,0
22.209,0.611,418.237,0.074,45,1.062,1
37.736,1.358,772.513,0.167,11,0.863,0
64.004,1.213,309.606,0.051,12,1.001,0
34.385,0.994,730.424,0.089,29,1.305,0
51.657,1.053,483.302,0.164,8,0.805,0
56.62,0.874,544.863,0.284,17,0.61,1
31.096,1.304,624.974,0.168,44,1.091,0
44.107,1.335,405.463,0.158,33,0.978,0
10.0,1.074,629.637,0.162,24,0.858,0
29.634,1.204,93.868,0.034,55,1.13,1
41.211,1.076,392.002,0.129,8,1.168,0
26.283,0.849,361.391,0.118,35,0.558,1
69.486,0.988,311.974,0.146,31,0.869,0
23.548,1.07,467.757,0.129,23,1.464,0
38.399,0.982,557.862,0.15,56,1.117,1
46.961,1.017,605.399,0.095,58,1.135,1
66.619,1.036,536.132,0.125,54,1.235,1
23.462,1.038,400.146,0.022,32,1.003,1
62.447,1.058,555.352,0.094,23,1.159,1
45.153,0.891,518.643,0.231,38,1.144,1
30.277,0.942,640.408,0.146,57,1.108,1
51.932,0.857,616.541,0.118,60,0.936,1
47.986,1.197,504.571,0.272,24,1.034,0
35.997,0.734,365.412,0.011,48,0.882,1
46.047,1.223,402.057,0.031,22,1.003,0
39.22,1.258,417.532,0.257,24,0.766,0
46.703,1.005,452.71,0.124,54,0.842,1
54.932,0.66,540.208,0.101,42,0.944,1
68.79,0.996,607.276,0.024,13,0.811,1
26.433,1.04,492.332,0.156,49,0.899,0
76.996,0.898,502.419,0.164,33,0.967,1
15.719,0.973,521.496,0.032,53,1.08,0
42.723,1.28,422.614,0.109,42,1.19,0
53.825,1.15,361.191,0.093,15,0.907,0
49.215,0.911,236.684,0.14,20,1.267,0
35.66,0.81,395.728,0.03,24,1.188,0
41.878,1.001,570.972,0.22,58,1.101,1
37.605,1.018,394.563,0.193,19,1.031,0
36.16,1.124,464.329,0.091,40,1.064,0
57.744,0.97,569.965,0.103,27,1.237,0
50.355,1.127,578.103,0.109,34,1.245,0
34.606,1.34,338.07,0.058,17,1.267,0
58.494,1.172,649.559,0.085,15,1.008,0
49.609,1.043,669.103,0.098,60,1.111,1
57.193,1.023,330.523,0.249,28,1.269,0
54.444,0.996,376.424,0.196,52,0.875,1
32.565,1.227,678.664,0.195,13,0.936,0
36.597,0.956,477.972,0.15,15,1.003,0
56.209,1.057,167.033,0.031,35,1.18,0
54.156,1.058,290.048,0.117,52,1.183,0
44.686,0.975,462.595,0.198,39,0.954,1
46.76,0.844,325.544,0.019,40,0.698,1
64.165,1.098,437.986,0.171,3,1.049,0
36.126,1.041,504.859,0.306,41,0.816,0
53.206,1.125,719.338,0.205,29,0.702,1
41.967,0.97,456.432,0.233,38,0.747,0
41.735,1.233,660.881,0.137,34,1.065,0
61.482,0.918,714.314,0.197,43,1.272,1
57.381,1.307,715.146,0.063,17,1.008,0
57.203,0.788,542.713,0.184,33,1.042,1
64.582,1.115,205.507,0.172,8,1.237,0
45.315,1.121,569.124,0.143,27,0.691,0
55.229,0.931,657.26,0.225,51,1.104,1
40.346,1.114,487.84,0.077,54,0.998,1
49.862,1.242,761.688,0.105,20,1.113,0
43.048,0.717,628.975,0.128,24,0.903,1
46.455,1.125,585.241,0.038,33,0.836,1
53.927,0.676,662.957,0.138,38,1.028,1
32.727,0.905,550.005,0.0,11,1.33,0
76.386,1.294,126.078,0.204,48,1.172,0
29.91,0.963,425.129,0.124,5,0.898,0
26.787,0.874,679.575,0.078,35,0.732,1
62.372,1.02,378.861,0.053,29,0.664,1
56.875,1.36,466.479,0.101,45,1.263,0
54.362,0.775,343.275,0.175,3,0.809,0
54.425,0.892,767.588,0.164,46,0.935,1
44.816,1.275,752.224,0.064,59,1.264,1
31.541,1.329,367.42,0.052,11,0.677,1
46.137,1.034,522.095,0.173,7,1.298,0
34.843,0.864,397.926,0.062,17,0.949,0
59.627,1.364,592.242,0.125,52,0.77,1
42.794,1.289,576.452,0.13,11,0.951,0
32.618,1.152,621.756,0.145,47,0.855,1
40.179,0.928,549.788,0.189,30,1.088,0
51.194,1.043,940.311,0.019,15,0.87,1
36.544,1.026,345.811,0.0,26,0.618,1
32.667,1.1,243.409,0.075,47,0.956,0
48.655,1.268,441.036,0.264,12,0.729,0
48.674,1.182,264.802,0.282,44,1.041,0
37.396,0.888,276.131,0.266,24,0.763,0
37.934,1.256,349.803,0.105,41,0.902,0
48.481,1.097,361.672,0.0,24,1.037,0
23.279,1.153,356.807,0.0,39,0.958,0
23.888,1.27,577.733,0.071,54,1.05,1
34.223,0.883,424.072,0.104,41,1.136,1
41.798,1.045,473.073,0.224,22,0.768,1
49.664,0.97,634.135,0.189,12,0.987,0
67.13,0.815,385.052,0.138,12,0.5,1
57.865,1.102,460.318,0.049,28,1.049,1
42.601,1.427,554.864,0.043,27,0.94,0
44.715,0.774,208.765,0.14,55,0.803,1
29.962,1.045,142.264,0.176,58,1.063,0
44.722,1.146,551.918,0.151,30,1.235,0
40.67,1.068,573.802,0.037,15,0.905,1
49.841,1.033,809.633,0.172,17,0.811,1
32.592,0.855,523.714,0.154,8,1.033,0
52.79,1.085,622.961,0.034,54,0.733,1
67.991,0.936,470.679,0.057,14,0.868,0
43.369,0.722,544.584,0.175,21,1.244,0
51.026,1.229,750.089,0.101,34,1.012,1
55.352,1.194,181.401,0.247,13,0.624,0
38.982,1.058,562.042,0.16,40,0.641,1
48.361,1.084,820.338,0.081,35,1.032,1
45.189,1.211,542.305,0.119,4,1.172,0
46.465,1.084,747.586,0.125,57,0.676,1
33.405,1.186,405.618,0.062,17,1.09,0
45.368,1.005,495.193,0.047,38,1.266,1
52.47,1.247,505.029,0.176,7,1.378,0
66.767,1.098,167.361,0.188,17,1.066,0
59.389,1.079,324.773,0.168,45,1.101,1
77.298,0.859,335.469,0.241,12,0.573,0
33.49,1.093,623.31,0.077,19,1.42,0
58.085,0.925,630.823,0.254,36,0.885,1
47.75,0.954,548.605,0.048,54,0.813,1
77.847,0.928,623.615,0.039,26,0.949,1
32.876,0.89,475.378,0.0,12,1.302,0
32.404,1.369,680.29,0.084,54,1.442,0
36.009,1.25,501.318,0.08,32,1.025,0
13.142,1.338,508.68,0.162,5,1.2,0
37.114,0.867,460.161,0.14,53,1.009,1
33.613,1.061,602.668,0.025,39,0.792,1
47.256,0.856,436.82,0.089,5,1.295,0
50.126,0.946,646.465,0.09,42,0.876,1
73.143,0.912,330.178,0.0,7,1.307,1
59.256,1.236,335.163,0.042,30,1.26,0
36.346,0.991,603.114,0.058,46,1.123,1
31.524,1.21,486.718,0.235,16,1.366,0
52.379,1.141,431.916,0.135,41,1.446,0
25.197,1.396,633.509,0.173,13,0.965,0
72.472,0.828,408.911,0.0,10,0.838,1
62.692,1.239,469.97,0.216,39,0.627,0
37.962,1.222,709.884,0.224,10,1.449,0
19.303,0.904,730.871,0.0,14,0.912,1
65.308,1.201,735.86,0.064,17,1.227,0
43.282,1.1,457.681,0.16,21,0.852,0
63.567,1.016,684.605,0.172,50,1.308,1
21.084,0.926,357.657,0.066,48,0.86,1
36.009,0.942,363.965,0.096,30,0.762,1
45.079,1.357,147.432,0.072,9,0.958,0
45.705,1.05,750.93,0.129,42,0.894,1
38.249,1.167,370.403,0.216,9,1.119,0
54.343,0.931,481.02,0.058,32,0.99,1
28.986,0.933,363.451,0.2,20,1.126,0
42.864,1.212,604.275,0.057,26,0.942,1
46.804,0.848,443.655,0.052,8,0.867,0
52.717,0.988,304.277,0.185,60,0.883,1
55.674,1.055,566.249,0.194,53,1.409,0
28.13,1.067,284.94,0.188,6,1.045,0
21.988,1.023,374.389,0.015,57,0.603,1
64.165,1.109,183.967,0.083,5,0.896,0
49.985,1.154,286.406,0.186,51,1.019,1
33.773,1.16,526.779,0.123,56,1.369,1
68.267,0.902,205.32,0.034,53,1.206,1
46.735,1.007,277.828,0.157,49,0.816,1
62.689,1.229,499.645,0.063,60,1.484,1
46.013,1.184,418.459,0.264,8,0.994,0
75.911,0.844,798.805,0.244,28,1.249,0
71.33,1.103,775.084,0.168,46,0.769,1
41.266,0.753,369.812,0.229,53,0.52,1
59.574,1.057,583.571,0.125,40,0.718,1
54.681,1.335,612.392,0.181,13,0.5,1
65.529,0.908,410.378,0.238,54,1.422,0
30.526,0.925,275.669,0.14,31,1.043,0
55.291,1.165,498.155,0.1,22,0.815,1
60.876,0.819,474.073,0.0,12,1.091,0
18.619,0.955,434.635,0.113,28,1.038,0
27.251,1.139,566.348,0.186,50,1.124,1
14.412,0.955,387.391,0.196,29,1.242,0
40.959,1.015,327.2,0.16,52,0.942,1
55.763,1.162,516.362,0.077,16,0.824,0
67.535,1.113,557.896,0.0,38,1.166,1
46.111,1.09,323.503,0.08,14,1.16,0
69.429,0.999,639.214,0.096,54,1.02,1
24.298,1.106,234.428,0.095,25,1.436,0
19.449,1.031,413.283,0.169,23,0.912,0
44.167,1.119,461.299,0.279,10,0.82,0
50.761,0.975,404.566,0.13,41,1.084,0
44.51,1.023,415.241,0.103,60,0.865,1
13.988,0.902,780.661,0.099,11,1.099,0
43.663,1.045,372.367,0.13,26,0.833,1
25.433,0.928,866.183,0.054,33,0.92,1
55.045,0.883,565.569,0.13,27,1.378,0
50.499,1.089,513.808,0.156,19,0.919,0
30.902,1.082,571.436,0.137,44,0.84,1
37.292,1.167,879.489,0.157,31,1.234,0
29.112,0.985,350.961,0.155,5,0.79,0
44.06,1.111,331.937,0.0,23,0.861,1
59.327,1.133,386.77,0.171,59,1.115,0
30.214,1.117,504.821,0.066,10,1.188,0
52.561,0.926,241.134,0.032,16,1.244,0
37.046,1.072,503.351,0.032,60,0.851,1
33.107,1.105,754.032,0.155,41,1.119,0
43.395,1.051,522.711,0.102,18,0.907,0
29.471,0.737,456.097,0.0,20,0.879,1
36.695,1.074,407.276,0.158,33,1.241,0
27.032,1.382,634.777,0.005,13,0.89,0
74.471,0.996,376.125,0.131,40,1.056,0
45.529,0.941,776.959,0.139,22,1.031,1
34.504,1.106,790.004,0.191,55,0.786,1
48.21,1.097,538.513,0.263,48,1.193,0
43.315,1.229,498.273,0.011,55,1.112,1
41.685,0.861,654.599,0.116,47,0.603,1
54.213,1.16,664.22,0.098,6,1.055,0
56.363,1.139,379.101,0.155,22,0.845,0
37.042,1.029,421.017,0.137,33,1.219,0
36.363,1.101,301.648,0.092,22,0.711,0
40.874,1.204,561.36,0.085,13,0.929,0
10.471,1.181,599.994,0.031,52,1.072,1
22.272,0.879,297.511,0.199,3,1.011,0
65.503,1.173,431.72,0.157,46,1.153,0
69.675,1.04,297.912,0.193,20,0.696,0
41.264,1.061,365.18,0.095,41,1.33,0
53.648,1.061,582.653,0.067,46,1.105,1
49.669,1.027,389.978,0.034,35,1.272,1
91.183,1.229,454.876,0.149,56,1.175,0
61.794,1.037,255.903,0.037,38,0.998,0
43.081,0.882,528.049,0.268,20,0.743,0
30.667,0.991,493.359,0.015,49,0.887,1
20.903,1.077,390.656,0.142,33,1.318,0
48.052,1.234,471.648,0.245,37,1.277,0
33.655,1.14,527.044,0.168,41,0.876,1
23.666,0.922,377.77,0.134,40,0.5,1
35.301,1.423,278.561,0.043,17,0.957,0
28.777,1.09,770.836,0.009,49,0.942,1
70.307,1.241,405.009,0.182,8,0.95,0
58.225,1.027,485.486,0.24,10,1.106,0
44.88,1.13,651.626,0.085,42,1.175,1
67.199,1.176,1029.358,0.029,24,1.198,1
46.161,1.233,313.327,0.0,3,1.089,0
32.081,1.209,567.474,0.042,60,0.64,1
67.847,1.181,393.867,0.111,15,0.932,0
53.084,1.003,419.181,0.248,57,1.461,0
29.441,0.964,391.968,0.174,26,1.075,0
42.145,1.1,331.152,0.144,23,1.074,0
31.866,1.19,493.806,0.088,47,1.072,1
24.258,1.017,278.825,0.073,45,1.083,0
58.893,1.21,642.021,0.232,6,0.523,1
73.641,1.268,508.25,0.136,9,0.952,0
24.021,0.913,563.365,0.0,14,0.992,0
53.445,0.924,430.072,0.066,15,1.256,0
35.24,1.029,444.919,0.051,56,1.01,1
37.693,1.096,543.135,0.076,46,0.671,1
36.114,0.971,325.392,0.165,18,1.086,0
32.04,1.253,446.301,0.111,8,0.839,0
45.728,1.114,371.058,0.114,16,0.757,0
32.536,1.056,366.415,0.225,53,0.833,1
49.057,0.835,183.524,0.064,50,1.109,0
44.246,0.853,700.899,0.269,60,1.252,1
41.416,1.092,397.019,0.066,33,1.097,0
31.387,0.73,674.506,0.127,38,1.126,1
36.348,1.202,660.319,0.098,39,1.095,0
56.331,1.026,307.1,0.13,43,1.02,0
52.514,1.536,336.738,0.156,58,1.139,0
30.337,1.396,884.075,0.155,37,0.516,1
46.49,1.023,762.639,0.06,56,1.022,1
56.271,1.034,495.272,0.03,12,0.791,1
19.959,1.199,538.606,0.32,19,1.233,0
53.15,1.305,405.373,0.081,53,0.971,1
35.061,0.804,564.853,0.176,44,1.006,1
53.559,0.782,392.423,0.0,32,0.699,1
33.551,0.957,195.147,0.098,46,1.203,0
17.927,1.137,301.767,0.11,57,1.125,1
20.587,1.125,503.164,0.158,9,1.111,0
45.721,1.21,330.34,0.0,20,0.837,0
48.896,0.87,489.908,0.133,21,0.845,0
31.435,0.703,338.801,0.028,17,1.045,1
54.579,1.179,382.647,0.146,41,0.861,0
20.077,0.926,627.975,0.037,46,1.087,1
44.009,0.747,537.122,0.052,24,0.568,1
26.835,1.072,498.55,0.098,41,0.902,0
35.222,1.169,631.845,0.036,44,1.359,0
45.711,1.032,572.091,0.082,59,1.088,1
32.094,0.981,716.984,0.025,58,1.033,1
39.232,1.026,431.021,0.0,56,1.397,1
60.094,0.994,435.555,0.201,32,0.533,1
36.347,0.848,304.834,0.016,22,0.837,0
57.535,0.943,435.653,0.106,34,0.92,1
28.054,1.128,644.715,0.18,44,1.172,0
52.947,1.098,694.998,0.071,27,1.175,0
66.624,1.075,644.046,0.054,25,0.827,1
10.0,0.901,230.871,0.138,7,1.2,0
33.047,1.023,662.472,0.209,52,0.919,1
53.656,0.723,224.222,0.026,43,1.242,1
41.954,1.077,634.718,0.108,32,0.793,1
50.567,1.264,444.832,0.0,50,0.975,1
35.94,0.829,605.38,0.089,41,0.902,1
46.299,0.962,300.133,0.123,59,1.211,0
42.665,1.099,675.675,0.052,29,0.895,0
62.517,1.238,280.254,0.083,59,0.992,1
48.816,0.983,399.732,0.007,44,1.101,1
50.064,0.946,350.286,0.126,39,1.109,0
38.822,0.755,236.857,0.204,9,1.177,0
37.686,1.066,514.179,0.032,7,1.042,0
38.512,1.356,770.913,0.07,17,0.916,1
50.917,1.092,900.036,0.16,53,0.93,1
38.685,1.047,514.573,0.217,44,1.005,0
49.347,1.098,667.502,0.001,10,1.05,0
76.131,1.048,534.814,0.106,58,0.971,1
58.067,0.928,574.832,0.143,11,1.004,1
40.11,1.173,448.678,0.112,13,0.697,1
63.018,1.084,529.262,0.0,24,1.133,1
38.879,1.053,580.622,0.16,36,1.036,1
14.428,0.904,413.231,0.242,37,1.2,0
29.879,1.246,488.376,0.129,15,1.0,0
16.938,1.15,491.235,0.038,13,0.652,1
39.727,0.967,623.96,0.079,34,0.928,1
45.276,1.2,340.095,0.262,44,0.96,0
70.147,0.975,492.269,0.193,17,1.149,0
49.904,0.933,786.801,0.171,40,0.586,1
41.713,0.936,674.609,0.149,3,1.008,0
57.441,0.784,702.377,0.067,48,1.103,1
11.833,1.121,503.665,0.104,52,0.868,1
48.534,0.775,548.15,0.114,26,1.015,1
